tick_ts,tick_time_str,date,month,year,day,week_of_month,open,high,low,close,volume,typical_price,price_range,return_pct,vwap,hl_ratio,body_pct,upper_shadow,lower_shadow,session,pre_market,post_market,is_open_tick,is_close_tick,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-03-25 09:47:41.658320,09:47,25,3,2026,2,5,23279.5,23279.5,23279.5,23279.5,0.0,23279.5,0.0,0.0,23279.5,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,104.2
2026-03-25 09:47:41.811923,09:47,25,3,2026,2,5,23279.0,23279.0,23279.0,23279.0,0.0,23279.0,0.0,0.0,23279.0,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,153.0
2026-03-25 09:47:42.001148,09:47,25,3,2026,2,5,23279.0,23279.0,23279.0,23279.0,0.0,23279.0,0.0,0.0,23279.0,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,188.8
2026-03-25 09:47:42.161791,09:47,25,3,2026,2,5,23279.0,23279.0,23279.0,23279.0,0.0,23279.0,0.0,0.0,23279.0,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,160.1
2026-03-25 09:47:42.297135,09:47,25,3,2026,2,5,23278.85,23278.85,23278.85,23278.85,0.0,23278.85,0.0,0.0,23278.85,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,134.8
2026-03-25 09:47:56.400730,09:47,25,3,2026,2,5,23277.7,23277.7,23277.7,23277.7,0.0,23277.7,0.0,0.0,23277.7,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,90.6
2026-03-25 09:47:56.552575,09:47,25,3,2026,2,5,23277.15,23277.15,23277.15,23277.15,0.0,23277.15,0.0,0.0,23277.15,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,151.4
2026-03-25 09:47:56.697676,09:47,25,3,2026,2,5,23277.15,23277.15,23277.15,23277.15,0.0,23277.15,0.0,0.0,23277.15,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,144.6
2026-03-25 09:47:56.798049,09:47,25,3,2026,2,5,23277.7,23277.7,23277.7,23277.7,0.0,23277.7,0.0,0.0,23277.7,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,99.9
2026-03-25 09:47:56.921699,09:47,25,3,2026,2,5,23277.15,23277.15,23277.15,23277.15,0.0,23277.15,0.0,0.0,23277.15,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,123.0
2026-03-25 09:47:59.483008,09:47,25,3,2026,2,5,23277.7,23277.7,23277.7,23277.7,0.0,23277.7,0.0,0.0,23277.7,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,55.3
2026-03-25 09:47:59.576955,09:47,25,3,2026,2,5,23275.85,23275.85,23275.85,23275.85,0.0,23275.85,0.0,0.0,23275.85,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,93.5
2026-03-25 09:47:59.726247,09:47,25,3,2026,2,5,23274.6,23274.6,23274.6,23274.6,0.0,23274.6,0.0,0.0,23274.6,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,148.7
2026-03-25 09:47:59.819175,09:47,25,3,2026,2,5,23275.85,23275.85,23275.85,23275.85,0.0,23275.85,0.0,0.0,23275.85,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,92.3
2026-03-25 09:47:59.909563,09:47,25,3,2026,2,5,23275.85,23275.85,23275.85,23275.85,0.0,23275.85,0.0,0.0,23275.85,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,89.9
2026-03-25 09:48:02.663000,09:48,25,3,2026,2,5,23277.15,23277.15,23277.15,23277.15,0.0,23277.15,0.0,0.0,23277.15,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,53.3
2026-03-25 09:48:02.769627,09:48,25,3,2026,2,5,23275.85,23275.85,23275.85,23275.85,0.0,23275.85,0.0,0.0,23275.85,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,106.2
2026-03-25 09:48:02.830201,09:48,25,3,2026,2,5,23277.7,23277.7,23277.7,23277.7,0.0,23277.7,0.0,0.0,23277.7,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,60.1
2026-03-25 09:48:02.987931,09:48,25,3,2026,2,5,23281.0,23281.0,23281.0,23281.0,0.0,23281.0,0.0,0.0,23281.0,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,157.2
2026-03-25 09:48:03.093145,09:48,25,3,2026,2,5,23280.9,23280.9,23280.9,23280.9,0.0,23280.9,0.0,0.0,23280.9,1.0,0.0,0.0,0.0,pre,1,0,0,0,0,0,1,ZERO_VOL,104.8
