tick_ts,bar_ts,tick_time_str,bar_time_str,symbol,year,month,date,day,hour,minute,week_of_month,open,high,low,close,volume,typical_price,vwap,price_range,return_pct,log_return,body_pct,upper_shadow,lower_shadow,hl_ratio,session_number,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-04-08 09:17:00.153517,2026-04-08 09:15:00,09:17,09:15,^NSEI,2026,4,8,2,9,15,2,23855.15,23904.45,23836.9,23844.2,0.0,23861.85,23861.85,67.55,-0.0459,0.0,16.21,49.3,7.3,1.002834,1,0,0,6,OK_NO_VOL,153.0
2026-04-08 09:18:00.167651,2026-04-08 09:16:00,09:18,09:16,^NSEI,2026,4,8,2,9,16,2,23844.7,23895.45,23844.7,23876.0,0.0,23872.05,23866.95,50.75,0.1313,0.001333,61.68,19.45,0.0,1.002128,1,0,0,6,OK_NO_VOL,166.9
2026-04-08 09:19:00.165552,2026-04-08 09:17:00,09:19,09:17,^NSEI,2026,4,8,2,9,17,2,23875.25,23903.4,23870.0,23900.0,0.0,23891.13,23875.01,33.4,0.1037,0.001005,74.1,3.4,5.25,1.001399,1,0,0,6,OK_NO_VOL,165.1
2026-04-08 09:20:00.182158,2026-04-08 09:18:00,09:20,09:18,^NSEI,2026,4,8,2,9,18,2,23899.9,23909.45,23889.9,23902.1,0.0,23900.48,23881.38,19.55,0.0092,8.8e-05,11.25,7.35,10.0,1.000818,1,0,0,6,OK_NO_VOL,181.7
2026-04-08 09:21:00.194039,2026-04-08 09:19:00,09:21,09:19,^NSEI,2026,4,8,2,9,19,2,23902.35,23902.75,23888.45,23900.0,0.0,23897.07,23884.52,14.3,-0.0098,-8.8e-05,16.43,0.4,11.55,1.000599,1,0,0,6,OK_NO_VOL,193.6
2026-04-08 09:22:00.226878,2026-04-08 09:20:00,09:22,09:20,^NSEI,2026,4,8,2,9,20,2,23899.95,23926.0,23895.2,23918.0,0.0,23913.07,23889.27,30.8,0.0755,0.000753,58.61,8.0,4.75,1.001289,1,0,0,6,OK_NO_VOL,226.4
2026-04-08 09:23:00.172150,2026-04-08 09:21:00,09:23,09:21,^NSEI,2026,4,8,2,9,21,2,23915.15,23928.1,23913.35,23920.0,0.0,23920.48,23893.73,14.75,0.0203,8.4e-05,32.88,8.1,1.8,1.000617,1,0,0,6,OK_NO_VOL,171.7
2026-04-08 09:24:00.225944,2026-04-08 09:22:00,09:24,09:22,^NSEI,2026,4,8,2,9,22,2,23920.55,23921.0,23889.95,23890.3,0.0,23900.42,23894.57,31.05,-0.1265,-0.001242,97.42,0.45,0.35,1.0013,1,0,0,6,OK_NO_VOL,225.5
2026-04-08 09:25:00.157044,2026-04-08 09:23:00,09:25,09:23,^NSEI,2026,4,8,2,9,23,2,23890.15,23896.6,23874.1,23874.1,0.0,23881.6,23893.13,22.5,-0.0672,-0.000678,71.34,6.45,0.0,1.000942,1,0,0,6,OK_NO_VOL,156.6
2026-04-08 09:26:00.212410,2026-04-08 09:24:00,09:26,09:24,^NSEI,2026,4,8,2,9,24,2,23874.8,23875.95,23859.8,23862.6,0.0,23866.12,23890.43,16.15,-0.0511,-0.000482,75.55,1.15,2.8,1.000677,1,0,0,6,OK_NO_VOL,212.0
2026-04-08 09:27:00.173490,2026-04-08 09:25:00,09:27,09:25,^NSEI,2026,4,8,2,9,25,2,23863.35,23871.55,23856.75,23857.45,0.0,23861.92,23887.83,14.8,-0.0247,-0.000216,39.87,8.2,0.7,1.00062,1,0,0,6,OK_NO_VOL,173.1
2026-04-08 09:28:00.227862,2026-04-08 09:26:00,09:28,09:26,^NSEI,2026,4,8,2,9,26,2,23855.75,23883.45,23855.2,23883.45,0.0,23874.03,23886.68,28.25,0.1161,0.001089,98.05,0.0,0.55,1.001184,1,0,0,6,OK_NO_VOL,227.4
2026-04-08 09:29:00.157381,2026-04-08 09:27:00,09:29,09:27,^NSEI,2026,4,8,2,9,27,2,23885.6,23893.65,23876.3,23888.45,0.0,23886.13,23886.64,17.35,0.0119,0.000209,16.42,5.2,9.3,1.000727,1,0,0,6,OK_NO_VOL,156.9
2026-04-08 09:30:00.177788,2026-04-08 09:28:00,09:30,09:28,^NSEI,2026,4,8,2,9,28,2,23889.35,23890.55,23870.4,23870.9,0.0,23877.28,23885.97,20.15,-0.0772,-0.000735,91.56,1.2,0.5,1.000844,1,0,0,6,OK_NO_VOL,177.3
2026-04-08 09:31:00.205483,2026-04-08 09:29:00,09:31,09:29,^NSEI,2026,4,8,2,9,29,2,23871.5,23878.4,23866.95,23877.75,0.0,23874.37,23885.2,11.45,0.0262,0.000287,54.59,0.65,4.55,1.00048,1,0,0,6,OK_NO_VOL,205.1
2026-04-08 09:32:00.164475,2026-04-08 09:30:00,09:32,09:30,^NSEI,2026,4,8,2,9,30,2,23877.85,23903.65,23875.9,23899.05,0.0,23892.87,23885.68,27.75,0.0888,0.000892,76.4,4.6,1.95,1.001162,1,0,0,6,OK_NO_VOL,164.1
2026-04-08 09:33:00.216658,2026-04-08 09:31:00,09:33,09:31,^NSEI,2026,4,8,2,9,31,2,23897.9,23909.35,23897.9,23898.85,0.0,23902.03,23886.64,11.45,0.004,-8e-06,8.29,10.5,0.0,1.000479,1,0,0,6,OK_NO_VOL,216.2
2026-04-08 09:34:00.248364,2026-04-08 09:32:00,09:34,09:32,^NSEI,2026,4,8,2,9,32,2,23900.55,23902.3,23893.7,23894.55,0.0,23896.85,23887.21,8.6,-0.0251,-0.00018,69.77,1.75,0.85,1.00036,1,0,0,6,OK_NO_VOL,247.9
2026-04-08 09:35:00.198853,2026-04-08 09:33:00,09:35,09:33,^NSEI,2026,4,8,2,9,33,2,23895.8,23896.25,23880.05,23883.85,0.0,23886.72,23887.18,16.2,-0.05,-0.000448,73.77,0.45,3.8,1.000678,1,0,0,6,OK_NO_VOL,198.4
2026-04-08 09:36:00.230157,2026-04-08 09:34:00,09:36,09:34,^NSEI,2026,4,8,2,9,34,2,23882.55,23891.9,23879.45,23879.45,0.0,23883.6,23887.0,12.45,-0.013,-0.000184,24.91,9.35,0.0,1.000521,1,0,0,6,OK_NO_VOL,229.7
2026-04-08 09:37:00.232065,2026-04-08 09:35:00,09:37,09:35,^NSEI,2026,4,8,2,9,35,2,23879.95,23897.15,23879.9,23893.0,0.0,23890.02,23887.15,17.25,0.0547,0.000567,75.66,4.15,0.05,1.000722,1,0,0,6,OK_NO_VOL,231.6
2026-04-08 09:38:00.214385,2026-04-08 09:36:00,09:38,09:36,^NSEI,2026,4,8,2,9,36,2,23892.45,23903.0,23889.0,23894.7,0.0,23895.57,23887.53,14.0,0.0094,7.1e-05,16.07,8.3,3.45,1.000586,1,0,0,6,OK_NO_VOL,214.0
2026-04-08 09:39:00.185260,2026-04-08 09:37:00,09:39,09:37,^NSEI,2026,4,8,2,9,37,2,23893.35,23912.55,23893.35,23906.55,0.0,23904.15,23888.25,19.2,0.0553,0.000496,68.76,6.0,0.0,1.000804,1,0,0,6,OK_NO_VOL,184.8
2026-04-08 09:40:00.244753,2026-04-08 09:38:00,09:40,09:38,^NSEI,2026,4,8,2,9,38,2,23906.4,23911.6,23894.8,23900.95,0.0,23902.45,23888.84,16.8,-0.0228,-0.000234,32.45,5.2,6.15,1.000703,1,0,0,6,OK_NO_VOL,244.3
2026-04-08 09:41:00.237675,2026-04-08 09:39:00,09:41,09:39,^NSEI,2026,4,8,2,9,39,2,23900.55,23916.2,23898.6,23913.9,0.0,23909.57,23889.67,17.6,0.0559,0.000542,75.85,2.3,1.95,1.000736,1,0,0,6,OK_NO_VOL,237.2
2026-04-08 09:42:00.172815,2026-04-08 09:40:00,09:42,09:40,^NSEI,2026,4,8,2,9,40,2,23913.35,23919.85,23910.5,23913.95,0.0,23914.77,23890.64,9.35,0.0025,2e-06,6.41,5.9,2.85,1.000391,1,0,0,6,OK_NO_VOL,172.4
2026-04-08 09:43:00.176413,2026-04-08 09:41:00,09:43,09:41,^NSEI,2026,4,8,2,9,41,2,23911.2,23920.2,23901.8,23905.7,0.0,23909.23,23891.33,18.4,-0.023,-0.000345,29.89,9.0,3.9,1.00077,1,0,0,6,OK_NO_VOL,176.0
2026-04-08 09:44:00.236421,2026-04-08 09:42:00,09:44,09:42,^NSEI,2026,4,8,2,9,42,2,23903.85,23913.25,23899.5,23903.95,0.0,23905.57,23891.84,13.75,0.0004,-7.3e-05,0.72,9.3,4.35,1.000575,1,0,0,6,OK_NO_VOL,236.0
2026-04-08 09:45:00.215023,2026-04-08 09:43:00,09:45,09:43,^NSEI,2026,4,8,2,9,43,2,23905.0,23921.35,23905.0,23916.65,0.0,23914.33,23892.61,16.35,0.0487,0.000531,71.26,4.7,0.0,1.000684,1,0,0,6,OK_NO_VOL,214.6
2026-04-08 09:46:00.215554,2026-04-08 09:44:00,09:46,09:44,^NSEI,2026,4,8,2,9,44,2,23917.25,23921.1,23912.65,23921.05,0.0,23918.27,23893.47,8.45,0.0159,0.000184,44.98,0.05,4.6,1.000353,1,0,0,6,OK_NO_VOL,215.1
2026-04-08 09:47:00.256132,2026-04-08 09:45:00,09:47,09:45,^NSEI,2026,4,8,2,9,45,2,23920.15,23933.2,23920.15,23932.5,0.0,23928.62,23894.6,13.05,0.0516,0.000479,94.63,0.7,0.0,1.000546,1,0,0,6,OK_NO_VOL,255.6
2026-04-08 09:48:00.166218,2026-04-08 09:46:00,09:48,09:46,^NSEI,2026,4,8,2,9,46,2,23934.55,23946.15,23932.55,23941.05,0.0,23939.92,23896.02,13.6,0.0272,0.000357,47.79,5.1,2.0,1.000568,1,0,0,6,OK_NO_VOL,165.8
2026-04-08 09:49:00.187550,2026-04-08 09:47:00,09:49,09:47,^NSEI,2026,4,8,2,9,47,2,23941.7,23951.7,23941.15,23948.45,0.0,23947.1,23897.56,10.55,0.0282,0.000309,63.98,3.25,0.55,1.000441,1,0,0,6,OK_NO_VOL,187.1
2026-04-08 09:50:00.161484,2026-04-08 09:48:00,09:50,09:48,^NSEI,2026,4,8,2,9,48,2,23947.5,23959.75,23947.5,23956.5,0.0,23954.58,23899.24,12.25,0.0376,0.000336,73.47,3.25,0.0,1.000512,1,0,0,6,OK_NO_VOL,161.1
2026-04-08 09:51:00.207721,2026-04-08 09:49:00,09:51,09:49,^NSEI,2026,4,8,2,9,49,2,23956.4,23958.85,23939.3,23941.55,0.0,23946.57,23900.59,19.55,-0.062,-0.000624,75.96,2.45,2.25,1.000817,1,0,0,6,OK_NO_VOL,207.3
2026-04-08 09:52:00.167562,2026-04-08 09:50:00,09:52,09:50,^NSEI,2026,4,8,2,9,50,2,23940.95,23958.5,23940.95,23948.6,0.0,23949.35,23901.95,17.55,0.032,0.000294,43.59,9.9,0.0,1.000733,1,0,0,6,OK_NO_VOL,167.1
2026-04-08 09:53:00.186321,2026-04-08 09:51:00,09:53,09:51,^NSEI,2026,4,8,2,9,51,2,23948.65,23956.7,23946.25,23948.55,0.0,23950.5,23903.26,10.45,-0.0004,-2e-06,0.95,8.05,2.3,1.000436,1,0,0,6,OK_NO_VOL,185.8
2026-04-08 09:54:00.217313,2026-04-08 09:52:00,09:54,09:52,^NSEI,2026,4,8,2,9,52,2,23947.45,23956.95,23946.75,23950.9,0.0,23951.53,23904.53,10.2,0.0144,9.8e-05,33.84,6.05,0.7,1.000426,1,0,0,6,OK_NO_VOL,216.9
2026-04-08 09:55:00.185011,2026-04-08 09:53:00,09:55,09:53,^NSEI,2026,4,8,2,9,53,2,23951.65,23953.05,23925.25,23925.25,0.0,23934.52,23905.3,27.8,-0.1102,-0.001072,94.97,1.4,0.0,1.001162,1,0,0,6,OK_NO_VOL,184.6
2026-04-08 09:56:00.181538,2026-04-08 09:54:00,09:56,09:54,^NSEI,2026,4,8,2,9,54,2,23926.6,23926.6,23912.55,23921.2,0.0,23920.12,23905.67,14.05,-0.0226,-0.000169,38.44,0.0,8.65,1.000588,1,0,0,6,OK_NO_VOL,181.1
2026-04-08 09:57:00.156023,2026-04-08 09:55:00,09:57,09:55,^NSEI,2026,4,8,2,9,55,2,23922.05,23935.9,23919.95,23927.85,0.0,23927.9,23906.21,15.95,0.0242,0.000278,36.36,8.05,2.1,1.000667,1,0,0,6,OK_NO_VOL,155.5
2026-04-08 09:58:00.237884,2026-04-08 09:56:00,09:58,09:56,^NSEI,2026,4,8,2,9,56,2,23928.0,23936.6,23927.75,23928.15,0.0,23930.83,23906.8,8.85,0.0006,1.3e-05,1.7,8.45,0.25,1.00037,1,0,0,6,OK_NO_VOL,237.5
2026-04-08 09:59:00.268046,2026-04-08 09:57:00,09:59,09:57,^NSEI,2026,4,8,2,9,57,2,23927.85,23929.6,23922.0,23925.95,0.0,23925.85,23907.24,7.6,-0.0079,-9.2e-05,25.01,1.75,3.95,1.000318,1,0,0,6,OK_NO_VOL,267.6
2026-04-08 10:00:00.164360,2026-04-08 09:58:00,10:00,09:58,^NSEI,2026,4,8,2,9,58,2,23926.05,23932.45,23902.5,23902.5,0.0,23912.48,23907.36,29.95,-0.0984,-0.000981,78.63,6.4,0.0,1.001253,1,0,0,6,OK_NO_VOL,163.9
2026-04-08 10:01:00.177843,2026-04-08 09:59:00,10:01,09:59,^NSEI,2026,4,8,2,9,59,2,23903.4,23903.95,23891.85,23897.4,0.0,23897.73,23907.15,12.1,-0.0251,-0.000213,49.59,0.55,5.55,1.000506,1,0,0,6,OK_NO_VOL,177.4
2026-04-08 10:02:00.211518,2026-04-08 10:00:00,10:02,10:00,^NSEI,2026,4,8,2,10,0,2,23896.9,23913.3,23896.9,23908.65,0.0,23906.28,23907.13,16.4,0.0492,0.000471,71.65,4.65,0.0,1.000686,2,0,0,6,OK_NO_VOL,211.1
2026-04-08 10:03:00.181412,2026-04-08 10:01:00,10:03,10:01,^NSEI,2026,4,8,2,10,1,2,23909.3,23919.75,23904.9,23912.9,0.0,23912.52,23907.24,14.85,0.0151,0.000178,24.24,6.85,4.4,1.000621,2,0,0,6,OK_NO_VOL,181.0
2026-04-08 10:04:00.206072,2026-04-08 10:02:00,10:04,10:02,^NSEI,2026,4,8,2,10,2,2,23913.15,23923.9,23907.75,23912.1,0.0,23914.58,23907.4,16.15,-0.0044,-3.3e-05,6.51,10.75,4.35,1.000676,2,0,0,6,OK_NO_VOL,205.6
2026-04-08 10:05:00.183967,2026-04-08 10:03:00,10:05,10:03,^NSEI,2026,4,8,2,10,3,2,23912.7,23914.1,23904.15,23904.65,0.0,23907.63,23907.4,9.95,-0.0337,-0.000312,80.89,1.4,0.5,1.000416,2,0,0,6,OK_NO_VOL,183.5
2026-04-08 10:06:00.210141,2026-04-08 10:04:00,10:06,10:04,^NSEI,2026,4,8,2,10,4,2,23903.9,23907.95,23892.85,23900.35,0.0,23900.38,23907.26,15.1,-0.0149,-0.00018,23.52,4.05,7.5,1.000632,2,0,0,6,OK_NO_VOL,209.7
