tick_ts,bar_ts,tick_time_str,bar_time_str,symbol,year,month,date,day,hour,minute,week_of_month,open,high,low,close,volume,typical_price,vwap,price_range,return_pct,log_return,body_pct,upper_shadow,lower_shadow,hl_ratio,session_number,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-04-02 09:17:00.146528,2026-04-02 09:15:00,09:17,09:15,^NSEI,2026,4,2,3,9,15,1,22383.4,22383.4,22222.85,22224.2,0.0,22276.82,22276.82,160.55,-0.7112,0.0,99.16,0.0,1.35,1.007225,1,0,0,5,OK_NO_VOL,146.1
2026-04-02 09:18:00.134622,2026-04-02 09:16:00,09:18,09:16,^NSEI,2026,4,2,3,9,16,1,22227.4,22263.4,22209.5,22254.65,0.0,22242.52,22259.67,53.9,0.1226,0.001369,50.56,8.75,17.9,1.002427,1,0,0,5,OK_NO_VOL,134.1
2026-04-02 09:19:00.160154,2026-04-02 09:17:00,09:19,09:17,^NSEI,2026,4,2,3,9,17,1,22258.3,22285.0,22252.9,22265.9,0.0,22267.93,22262.42,32.1,0.0341,0.000505,23.67,19.1,5.4,1.001442,1,0,0,5,OK_NO_VOL,159.6
2026-04-02 09:20:00.103997,2026-04-02 09:18:00,09:20,09:18,^NSEI,2026,4,2,3,9,18,1,22265.25,22267.55,22247.75,22250.5,0.0,22255.27,22260.63,19.8,-0.0662,-0.000692,74.49,2.3,2.75,1.00089,1,0,0,5,OK_NO_VOL,103.5
2026-04-02 09:21:00.129030,2026-04-02 09:19:00,09:21,09:19,^NSEI,2026,4,2,3,9,19,1,22249.25,22249.25,22220.1,22228.0,0.0,22232.45,22255.0,29.15,-0.0955,-0.001012,72.9,0.0,7.9,1.001312,1,0,0,5,OK_NO_VOL,128.5
2026-04-02 09:22:00.084094,2026-04-02 09:20:00,09:22,09:20,^NSEI,2026,4,2,3,9,20,1,22226.35,22235.05,22215.6,22229.2,0.0,22226.62,22250.27,19.45,0.0128,5.4e-05,14.65,5.85,10.75,1.000876,1,0,0,5,OK_NO_VOL,83.4
2026-04-02 09:23:00.136458,2026-04-02 09:21:00,09:23,09:21,^NSEI,2026,4,2,3,9,21,1,22228.45,22230.7,22218.7,22228.2,0.0,22225.87,22246.78,12.0,-0.0011,-4.5e-05,2.08,2.25,9.5,1.00054,1,0,0,5,OK_NO_VOL,135.9
2026-04-02 09:24:00.084199,2026-04-02 09:22:00,09:24,09:22,^NSEI,2026,4,2,3,9,22,1,22229.25,22233.25,22216.0,22228.8,0.0,22226.02,22244.19,17.25,-0.002,2.7e-05,2.6,4.0,12.8,1.000776,1,0,0,5,OK_NO_VOL,83.7
2026-04-02 09:25:00.160073,2026-04-02 09:23:00,09:25,09:23,^NSEI,2026,4,2,3,9,23,1,22228.1,22255.95,22226.0,22243.05,0.0,22241.67,22243.91,29.95,0.0673,0.000641,49.92,12.9,2.1,1.001347,1,0,0,5,OK_NO_VOL,159.5
2026-04-02 09:26:00.105067,2026-04-02 09:24:00,09:26,09:24,^NSEI,2026,4,2,3,9,24,1,22241.6,22253.2,22235.6,22252.15,0.0,22246.98,22244.21,17.6,0.0474,0.000409,59.95,1.05,6.0,1.000792,1,0,0,5,OK_NO_VOL,104.6
2026-04-02 09:27:00.124248,2026-04-02 09:25:00,09:27,09:25,^NSEI,2026,4,2,3,9,25,1,22251.45,22261.6,22248.0,22258.0,0.0,22255.87,22245.27,13.6,0.0294,0.000263,48.17,3.6,3.45,1.000611,1,0,0,5,OK_NO_VOL,123.6
2026-04-02 09:28:00.115820,2026-04-02 09:26:00,09:28,09:26,^NSEI,2026,4,2,3,9,26,1,22257.85,22258.9,22236.35,22240.15,0.0,22245.13,22245.26,22.55,-0.0795,-0.000802,78.49,1.05,3.8,1.001014,1,0,0,5,OK_NO_VOL,115.4
2026-04-02 09:29:00.104535,2026-04-02 09:27:00,09:29,09:27,^NSEI,2026,4,2,3,9,27,1,22239.15,22256.7,22237.75,22251.15,0.0,22248.53,22245.51,18.95,0.054,0.000494,63.32,5.55,1.4,1.000852,1,0,0,5,OK_NO_VOL,103.8
2026-04-02 09:30:00.119280,2026-04-02 09:28:00,09:30,09:28,^NSEI,2026,4,2,3,9,28,1,22250.4,22252.05,22240.5,22240.5,0.0,22244.35,22245.43,11.55,-0.0445,-0.000479,85.72,1.65,0.0,1.000519,1,0,0,5,OK_NO_VOL,118.9
2026-04-02 09:31:00.100024,2026-04-02 09:29:00,09:31,09:29,^NSEI,2026,4,2,3,9,29,1,22241.7,22251.6,22240.0,22245.55,0.0,22245.72,22245.45,11.6,0.0173,0.000227,33.2,6.05,1.7,1.000522,1,0,0,5,OK_NO_VOL,99.5
2026-04-02 09:32:00.085654,2026-04-02 09:30:00,09:32,09:30,^NSEI,2026,4,2,3,9,30,1,22244.45,22262.45,22242.8,22257.55,0.0,22254.27,22246.0,19.65,0.0589,0.000539,66.67,4.9,1.65,1.000883,1,0,0,5,OK_NO_VOL,85.2
2026-04-02 09:33:00.109385,2026-04-02 09:31:00,09:33,09:31,^NSEI,2026,4,2,3,9,31,1,22258.9,22268.75,22249.8,22249.8,0.0,22256.12,22246.6,18.95,-0.0409,-0.000348,48.02,9.85,0.0,1.000852,1,0,0,5,OK_NO_VOL,108.9
