tick_ts,bar_ts,tick_time_str,bar_time_str,symbol,year,month,date,day,hour,minute,week_of_month,open,high,low,close,volume,typical_price,vwap,price_range,return_pct,log_return,body_pct,upper_shadow,lower_shadow,hl_ratio,session_number,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-04-10 09:17:00.135588,2026-04-10 09:15:00,09:17,09:15,^NSEI,2026,4,10,4,9,15,2,23880.55,23913.15,23867.2,23895.5,0.0,23891.95,23891.95,45.95,0.0626,0.0,32.53,17.65,13.35,1.001925,1,0,0,4,OK_NO_VOL,135.2
2026-04-10 09:18:00.138680,2026-04-10 09:16:00,09:18,09:16,^NSEI,2026,4,10,4,9,16,2,23893.25,23947.4,23893.25,23938.0,0.0,23926.22,23909.08,54.15,0.1873,0.001777,82.64,9.4,0.0,1.002266,1,0,0,4,OK_NO_VOL,138.2
2026-04-10 09:19:00.299932,2026-04-10 09:17:00,09:19,09:17,^NSEI,2026,4,10,4,9,17,2,23938.5,23950.55,23935.8,23942.3,0.0,23942.88,23920.35,14.75,0.0159,0.00018,25.77,8.25,2.7,1.000616,1,0,0,4,OK_NO_VOL,299.5
2026-04-10 09:20:00.178709,2026-04-10 09:18:00,09:20,09:18,^NSEI,2026,4,10,4,9,18,2,23943.35,23955.4,23939.35,23942.5,0.0,23945.75,23926.7,16.05,-0.0035,8e-06,5.29,12.05,3.15,1.00067,1,0,0,4,OK_NO_VOL,178.2
2026-04-10 09:21:00.174756,2026-04-10 09:19:00,09:21,09:19,^NSEI,2026,4,10,4,9,19,2,23943.1,23967.4,23942.05,23965.7,0.0,23958.38,23933.04,25.35,0.0944,0.000968,89.15,1.7,1.05,1.001059,1,0,0,4,OK_NO_VOL,174.3
2026-04-10 09:22:00.134339,2026-04-10 09:20:00,09:22,09:20,^NSEI,2026,4,10,4,9,20,2,23966.25,23978.2,23955.35,23962.35,0.0,23965.3,23938.41,22.85,-0.0163,-0.00014,17.07,11.95,7.0,1.000954,1,0,0,4,OK_NO_VOL,133.9
2026-04-10 09:23:00.162954,2026-04-10 09:21:00,09:23,09:21,^NSEI,2026,4,10,4,9,21,2,23961.7,23964.7,23953.35,23953.7,0.0,23957.25,23941.1,11.35,-0.0334,-0.000361,70.48,3.0,0.35,1.000474,1,0,0,4,OK_NO_VOL,161.9
2026-04-10 09:24:00.174088,2026-04-10 09:22:00,09:24,09:22,^NSEI,2026,4,10,4,9,22,2,23954.75,23956.45,23947.3,23948.5,0.0,23950.75,23942.31,9.15,-0.0261,-0.000217,68.31,1.7,1.2,1.000382,1,0,0,4,OK_NO_VOL,173.6
2026-04-10 09:25:00.175529,2026-04-10 09:23:00,09:25,09:23,^NSEI,2026,4,10,4,9,23,2,23949.25,23952.6,23940.0,23941.05,0.0,23944.55,23942.56,12.6,-0.0342,-0.000311,65.07,3.35,1.05,1.000526,1,0,0,4,OK_NO_VOL,175.1
2026-04-10 09:26:00.113387,2026-04-10 09:24:00,09:26,09:24,^NSEI,2026,4,10,4,9,24,2,23940.55,23942.6,23917.05,23918.65,0.0,23926.1,23940.91,25.55,-0.0915,-0.000936,85.72,2.05,1.6,1.001068,1,0,0,4,OK_NO_VOL,113.0
