datetime_ist,open,high,low,close
2026-03-24 10:04:00+05:30,22702.94921875,22702.94921875,22702.94921875,22702.94921875
2026-03-24 10:05:00+05:30,22714.75,22714.75,22714.75,22714.75
2026-03-24 10:06:00+05:30,22707.25,22707.25,22707.25,22707.25
2026-03-24 10:07:00+05:30,22697.0,22697.0,22697.0,22697.0
2026-03-24 10:08:00+05:30,22689.349609375,22689.349609375,22689.349609375,22689.349609375
2026-03-24 10:09:00+05:30,22684.69921875,22684.69921875,22684.69921875,22684.69921875
2026-03-24 10:10:00+05:30,22684.5,22694.19921875,22682.30078125,22692.650390625
2026-03-24 10:12:00+05:30,22686.650390625,22686.650390625,22686.650390625,22686.650390625
2026-03-24 10:13:00+05:30,22688.849609375,22688.849609375,22688.849609375,22688.849609375
2026-03-24 10:14:00+05:30,22711.5,22711.5,22711.5,22711.5
2026-03-24 10:15:00+05:30,22704.0,22704.0,22704.0,22704.0
2026-03-24 10:16:00+05:30,22718.94921875,22718.94921875,22718.94921875,22718.94921875
2026-03-24 10:17:00+05:30,22730.30078125,22730.30078125,22730.30078125,22730.30078125
2026-03-24 10:18:00+05:30,22743.94921875,22743.94921875,22743.94921875,22743.94921875
2026-03-24 10:19:00+05:30,22739.650390625,22739.650390625,22739.650390625,22739.650390625
2026-03-24 10:20:00+05:30,22733.099609375,22733.099609375,22733.099609375,22733.099609375
2026-03-24 10:21:00+05:30,22714.349609375,22714.349609375,22714.349609375,22714.349609375
2026-03-24 10:22:00+05:30,22739.30078125,22739.30078125,22739.30078125,22739.30078125
2026-03-24 10:23:00+05:30,22753.94921875,22753.94921875,22753.94921875,22753.94921875
2026-03-24 10:24:00+05:30,22762.94921875,22762.94921875,22762.94921875,22762.94921875
2026-03-24 10:25:00+05:30,22757.80078125,22757.80078125,22757.80078125,22757.80078125
2026-03-24 10:26:00+05:30,22759.55078125,22759.55078125,22759.55078125,22759.55078125
2026-03-24 10:27:00+05:30,22734.0,22734.0,22734.0,22734.0
2026-03-24 10:28:00+05:30,22730.650390625,22730.650390625,22730.650390625,22730.650390625
2026-03-24 10:29:00+05:30,22735.30078125,22735.30078125,22735.30078125,22735.30078125
2026-03-24 10:30:00+05:30,22733.75,22733.75,22733.75,22733.75
2026-03-24 10:31:00+05:30,22720.099609375,22720.099609375,22720.099609375,22720.099609375
2026-03-24 10:32:00+05:30,22705.599609375,22705.599609375,22705.599609375,22705.599609375
2026-03-24 10:33:00+05:30,22697.19921875,22697.19921875,22697.19921875,22697.19921875
2026-03-24 10:34:00+05:30,22672.599609375,22672.599609375,22672.599609375,22672.599609375
2026-03-24 10:35:00+05:30,22661.5,22661.5,22661.5,22661.5
2026-03-24 10:36:00+05:30,22653.150390625,22653.150390625,22653.150390625,22653.150390625
2026-03-24 10:37:00+05:30,22636.0,22636.0,22636.0,22636.0
2026-03-24 10:38:00+05:30,22637.400390625,22637.400390625,22637.400390625,22637.400390625
